"Time","T90","T90_sd","unique_sample"
5,56.8745558321181,2.70888154615651,1
15,50.2809795664805,1.29600131056417,1
30,47.4985165343226,1.3936873000019,1
60,45.2382334778603,1.49220778504679,1
5,57.1225298827645,2.22701454596815,2
15,50.8929787139843,1.1721069635453,2
30,48.3233768901415,1.40368254776952,2
60,46.3892160425389,1.55589489845674,2
5,57.4165104547466,5.62801817221292,3
15,49.9384725787151,1.90129231084754,3
30,47.4127508501195,2.08691663899564,3
60,45.7781925208714,2.41192971794729,3
5,56.5920180269132,3.09039742893093,4
15,47.4091829895561,1.22575581141843,4
30,44.0900573200592,1.14233103293473,4
60,42.2122900018144,1.43210398958981,4
5,58.7330227789928,3.79248944999413,5
15,48.7504598126476,1.24787873479165,5
30,45.7646953983903,1.05711072541966,5
60,43.4831943005389,1.12384115188124,5
