"","plant_id","Temp","Time","Species","initial_fvfm","post_fvfm","final_fvfm","fvfm_prop_ip","fvfm_prop_io","unique_sample","Species_sample"
"54",14,44,30,"Vicia faba",0.828,0.134,0.312,0.161835748792271,0.376811594202899,3,"Vicia faba_3"
"55",14,44,60,"Vicia faba",0.861,0.637,0,0.739837398373984,0,3,"Vicia faba_3"
"56",14,48,5,"Vicia faba",0.802,0.38,0.311,0.473815461346633,0.387780548628429,3,"Vicia faba_3"
"57",14,48,15,"Vicia faba",0.833,0.238,0.246,0.285714285714286,0.2953181272509,3,"Vicia faba_3"
"58",14,48,30,"Vicia faba",0.801,0,0,0,0,3,"Vicia faba_3"
"59",14,48,60,"Vicia faba",0.782,0,0,0,0,3,"Vicia faba_3"
"60",14,52,5,"Vicia faba",0.796,0.472,0.307,0.592964824120603,0.385678391959799,3,"Vicia faba_3"
"61",14,52,15,"Vicia faba",0.778,0,0,0,0,3,"Vicia faba_3"
"62",14,52,30,"Vicia faba",0.814,0,0,0,0,3,"Vicia faba_3"
"63",14,52,60,"Vicia faba",0.808,0,0,0,0,3,"Vicia faba_3"
"64",14,54,5,"Vicia faba",0.805,0.145,0,0.180124223602484,0,3,"Vicia faba_3"
"65",14,54,15,"Vicia faba",0.817,0,0,0,0,3,"Vicia faba_3"
"66",14,58,5,"Vicia faba",0.779,0,0,0,0,3,"Vicia faba_3"
"67",18,30,5,"Vicia faba",0.814,0.816,0.814,1,1,4,"Vicia faba_4"
"68",18,30,15,"Vicia faba",0.78,0.808,0.831,1,1,4,"Vicia faba_4"
"69",18,30,30,"Vicia faba",0.815,0.826,0.829,1,1,4,"Vicia faba_4"
"70",18,30,60,"Vicia faba",0.788,0.73,0.821,0.926395939086294,1,4,"Vicia faba_4"
"71",18,40,60,"Vicia faba",0.821,0.288,0.271,0.350791717417783,0.330085261875761,4,"Vicia faba_4"
"72",18,42,15,"Vicia faba",0.836,0.316,0.437,0.37799043062201,0.522727272727273,4,"Vicia faba_4"
"73",18,42,30,"Vicia faba",0.802,0.141,0.277,0.175810473815461,0.345386533665835,4,"Vicia faba_4"
"74",18,44,5,"Vicia faba",0.853,0.515,0.635,0.603751465416178,0.74443141852286,4,"Vicia faba_4"
"75",18,44,15,"Vicia faba",0.795,0.152,0.116,0.191194968553459,0.145911949685535,4,"Vicia faba_4"
"76",18,44,30,"Vicia faba",0.805,0.037,0.218,0.0459627329192547,0.270807453416149,4,"Vicia faba_4"
"77",18,44,60,"Vicia faba",0.861,0,0.074,0,0.0859465737514518,4,"Vicia faba_4"
"78",18,48,5,"Vicia faba",0.812,0.327,0.288,0.402709359605911,0.354679802955665,4,"Vicia faba_4"
"79",18,48,15,"Vicia faba",0.838,0.255,0,0.304295942720764,0,4,"Vicia faba_4"
"80",18,48,30,"Vicia faba",0.807,0,0,0,0,4,"Vicia faba_4"
"81",18,48,60,"Vicia faba",0.771,0,0,0,0,4,"Vicia faba_4"
"82",18,52,5,"Vicia faba",0.799,0.327,0,0.409261576971214,0,4,"Vicia faba_4"
"83",18,52,15,"Vicia faba",0.79,0,0,0,0,4,"Vicia faba_4"
"84",18,52,30,"Vicia faba",0.809,0,0,0,0,4,"Vicia faba_4"
"85",18,52,60,"Vicia faba",0.805,0,0,0,0,4,"Vicia faba_4"
"86",18,54,5,"Vicia faba",0.799,0.133,0,0.166458072590738,0,4,"Vicia faba_4"
"87",18,54,15,"Vicia faba",0.827,0,0,0,0,4,"Vicia faba_4"
