"Time","T10","T10_sd","unique_sample"
5,35.5202950964527,3.827784149308,1
15,32.9612001774592,1.66244601251833,1
30,31.8635425505087,0.898636998511956,1
60,31.6465730818851,1.60985094580405,1
5,34.1751054058745,2.55943304193917,2
15,32.7160010349261,0.901918060562421,2
30,32.0102881623688,0.809944132353893,2
60,32.1592466288101,2.10555761254387,2
5,32.943779246506,5.49916331079862,3
15,32.0588674305321,1.68617176502012,3
30,31.9070589254856,1.46951291358034,3
60,32.3762111604024,2.38728621457172,3
5,34.7073778398534,3.1042060324634,4
15,32.0019328359119,1.57263801770455,4
30,31.2829305559757,1.47538279717237,4
60,30.9215461037072,1.72690429745059,4
5,35.6935608214549,3.22810111289626,5
15,32.6502455897059,1.46426676640218,5
30,31.6848792904671,1.00199440254805,5
60,31.4811066898961,1.03422020340689,5
