"Time","T10","T10_sd","unique_sample"
5,35.2040033045635,3.63783012327393,1
15,35.7264233318611,3.01083571047239,1
30,33.6092589902287,2.88749728400153,1
60,34.2982041137175,3.66750818905296,1
5,35.0479387106628,2.85489653539131,2
15,34.6055236541752,2.68298165290238,2
30,33.2037713076842,2.66810084696003,2
60,33.9621256982268,3.45259904686743,2
5,34.1998939419441,2.90376585676098,3
15,32.8146571637012,1.86044679565514,3
30,32.0792272371788,1.77244538427682,3
60,32.4389517152631,2.34549030874018,3
5,35.1819227334729,2.79740783473787,4
15,34.282921940044,3.19590726124507,4
30,32.9018059864321,3.15051817426251,4
60,32.5194345512902,2.45945414323741,4
5,36.9944170742433,2.93698924170833,5
15,33.5600007277356,1.70314661102486,5
30,32.0647926529775,1.02373265116421,5
60,31.9409896354168,1.65640800969178,5
