"Time","T50","T50_sd","unique_sample"
5,47.8170586670482,1.59003213168061,1
15,43.2183019909896,1.10942669925668,1
30,40.4647256755646,1.36298073800075,1
60,38.9305944970265,1.63021853888054,1
5,47.4265538689081,1.9641071382651,2
15,43.3762373827044,0.826895262401595,2
30,41.1954452469303,1.47410287945603,2
60,39.9858061609239,1.7434849633748,2
5,46.2903252253223,3.5265135685726,3
15,42.0546554089528,1.47103778076386,3
30,40.2444613233466,2.02721777455985,3
60,39.7107611034994,2.36912515994071,3
5,47.487122399825,1.60295213479313,4
15,40.4913800113407,1.20156918868,4
30,37.4970980236603,0.899643899020122,4
60,36.4062892660274,1.35354170039656,4
5,48.8770211484762,1.57267810989474,5
15,42.4699350235248,0.869681158443042,5
30,38.9384830204802,0.854778984846104,5
60,37.9755880516716,1.13510735060699,5
