"AOI","Temp","Time","Rep","Species","Leaf","final","initial","post","post-wet","final-wet"
"13","40","120","A","Bean","Cut","0.313","0.775","0.306",NA,NA
"13","30","30","B","Bean","Cut","0.801","0.776","0.81",NA,NA
"13","48","30","B","Bean","Cut","0","0.854","0.083",NA,NA
"13","40","30","B","Bean","Cut","0.612","0.799","0.575",NA,NA
"13","30","5","A","Bean","Cut","0.774","0.8","0.736",NA,NA
"13","48","120","B","Bean","Cut","0","0.812","0",NA,NA
"13","40","5","A","Bean","Cut","0.692","0.831","0.616",NA,NA
"13","48","5","A","Bean","Cut","0.216","0.782","0.408",NA,NA
"13","48","30","A","Bean","Cut",NA,"0.778",NA,"0","0.125"
"13","40","5","B","Bean","Cut","0.788","0.81","0.796",NA,NA
"13","48","5","B","Bean","Cut","0.44",NA,"0.477",NA,NA
"13","48","120","A","Bean","Cut","0","0.837","0",NA,NA
"14","30","30","A","Poplar","Whole","0.851","0.861","0.827",NA,NA
"14","30","120","A","Poplar","Whole","0.846","0.829","0.807",NA,NA
"14","40","30","A","Poplar","Whole","0.849","0.842","0.804",NA,NA
"14","40","5","A","Poplar","Whole","0.815","0.872","0.812",NA,NA
"14","30","30","B","Poplar","Whole","0.843","0.828","0.836",NA,NA
"14","30","5","B","Poplar","Whole","0.847","0.858","0.835",NA,NA
"14","40","120","B","Poplar","Whole",NA,"0.866",NA,"0.772","0.845"
"14","40","30","B","Poplar","Whole","0.822","0.836","0.601",NA,NA
"14","30","5","A","Poplar","Whole","0.842","0.852","0.827",NA,NA
"14","30","120","B","Poplar","Whole","0.839","0.849","0.802",NA,NA
"14","40","5","B","Poplar","Whole","0.864","0.852","0.845",NA,NA
"14","40","120","A","Poplar","Whole","0.838","0.844","0.787",NA,NA
"14","48","120","A","Poplar","Whole","0","0.865","0",NA,NA
"14","48","30","A","Poplar","Whole",NA,"0.85",NA,"0.247","0.092"
"14","48","5","A","Poplar","Whole","0.707","0.855","0.687",NA,NA
"14","48","120","B","Poplar","Whole","0","0.857","0",NA,NA
"14","48","30","B","Poplar","Whole","0.14","0.871","0.295",NA,NA
"14","48","5","B","Poplar","Whole","0.644",NA,"0.612",NA,NA
"15","40","5","A","Bean","Whole","0.71","0.828","0.697",NA,NA
"15","48","120","B","Bean","Whole","0","0.812","0",NA,NA
"15","30","30","A","Bean","Whole","0.811","0.821","0.784",NA,NA
"15","30","120","A","Bean","Whole","0.74","0.768","0.658",NA,NA
"15","30","5","B","Bean","Whole","0.81","0.826","0.794",NA,NA
"15","30","120","B","Bean","Whole","0.774","0.815","0.699",NA,NA
"15","30","30","B","Bean","Whole","0.824","0.797","0.825",NA,NA
"15","48","120","A","Bean","Whole","0","0.844","0",NA,NA
"15","40","120","B","Bean","Whole",NA,"0.831",NA,"0.198","0.16"
"15","40","5","B","Bean","Whole","0.794","0.799","0.788",NA,NA
"15","40","120","A","Bean","Whole","0.121","0.826","0.11",NA,NA
"15","40","30","A","Bean","Whole","0.767","0.79","0.722",NA,NA
"15","48","30","A","Bean","Whole",NA,"0.809",NA,"0","0"
"15","30","5","A","Bean","Whole","0.818","0.819","0.777",NA,NA
"15","48","30","B","Bean","Whole","0.099","0.849","0.203",NA,NA
"15","40","30","B","Bean","Whole","0.637","0.774","0.566",NA,NA
"15","48","5","A","Bean","Whole","0.219","0.817","0.537",NA,NA
"15","48","5","B","Bean","Whole","0.387",NA,"0.391",NA,NA
"16","48","120","A","Lomandra","Whole","0.431","0.842","0.398",NA,NA
"16","30","120","A","Lomandra","Whole",NA,"0.794","0.758",NA,NA
"16","30","30","A","Lomandra","Whole","0.803","0.823","0.771",NA,NA
"16","30","5","B","Lomandra","Whole","0.81","0.809","0.781",NA,NA
"16","48","120","B","Lomandra","Whole","0.58","0.816","0.374",NA,NA
"16","48","30","B","Lomandra","Whole","0.637","0.844","0.623",NA,NA
