"","AOI","Temp","Time","Cell","Species","Recovery","Day","final","initial","post"
"92","13","35","60","C1","Poplar","Light",1,"0.783","0.821","0.765"
"93","13","44","120","C1","Poplar","Light",1,"0.427","0.837","0.307"
"94","13","40","60","C1","Poplar","Light",1,"0.766","0.837","0.818"
"95","13","52","5","C1","Poplar","Light",1,"0.047","0.841","0"
"96","14","52","15","C2","Euc","Light",1,"0","0.825","0"
"97","14","48","60","C2","Euc","Light",1,"0.138","0.801","0"
"98","14","30","60","C2","Euc","Light",1,"0.791","0.836","0.739"
"99","14","52","30","C2","Euc","Light",1,"0","0.804","0"
"100","14","40","30","C2","Euc","Light",1,"0.76","0.798","0.646"
"101","14","44","60","C2","Euc","Light",1,"0","0.819","0"
"102","14","44","30","C2","Euc","Light",1,"0.552","0.807","0.362"
"103","14","44","15","C2","Euc","Light",1,"0.753","0.812","0.551"
"104","14","44","5","C2","Euc","Light",1,"0.772","0.804","0.617"
"105","14","40","120","C2","Euc","Light",1,"0.615","0.819","0.664"
"106","14","48","5","C2","Euc","Light",1,"0.386","0.817",NA
"107","14","35","60","C2","Euc","Light",1,"0.675","0.808","0.739"
"108","14","35","120","C2","Euc","Light",1,"0.752","0.83","0.707"
"109","14","40","60","C2","Euc","Light",1,"0.754","0.835","0.799"
"110","14","52","5","C2","Euc","Light",1,"0.125","0.815","0.15"
"111","14","35","30","C2","Euc","Light",1,"0.763","0.827","0.726"
"112","14","40","15","C2","Euc","Light",1,"0.768","0.823","0.752"
"113","14","48","30","C2","Euc","Light",1,"0","0.821","0"
"114","14","44","120","C2","Euc","Light",1,"0.609","0.813","0"
"115","15","48","60","C3","Lomandra","Light",1,"0.356","0.785","0.147"
"116","15","44","60","C3","Lomandra","Light",1,"0.608","0.788","0.341"
"117","15","52","30","C3","Lomandra","Light",1,"0.045","0.75","0.041"
"118","15","35","30","C3","Lomandra","Light",1,"0.738","0.783","0.691"
"119","15","44","5","C3","Lomandra","Light",1,"0.707","0.77","0.656"
"120","15","35","120","C3","Lomandra","Light",1,"0.73","0.796","0.684"
"121","15","48","5","C3","Lomandra","Light",1,"0.732","0.796",NA
"122","15","40","30","C3","Lomandra","Light",1,"0.763","0.778","0.688"
"123","15","52","15","C3","Lomandra","Light",1,"0.101","0.791","0.18"
"124","15","35","60","C3","Lomandra","Light",1,"0.728","0.768","0.697"
"125","15","40","60","C3","Lomandra","Light",1,"0.737","0.815","0.783"
"126","15","48","30","C3","Lomandra","Light",1,"0.529","0.788","0.245"
"127","15","40","120","C3","Lomandra","Light",1,"0.727","0.775","0.569"
"128","15","44","120","C3","Lomandra","Light",1,"0.671","0.796","0.437"
"129","15","30","60","C3","Lomandra","Light",1,"0.787","0.812","0.71"
"130","15","44","30","C3","Lomandra","Light",1,"0.759","0.775","0.697"
"131","15","52","5","C3","Lomandra","Light",1,"0.369","0.794","0.3"
"132","15","44","15","C3","Lomandra","Light",1,"0.732","0.746","0.616"
"133","15","40","15","C3","Lomandra","Light",1,"0.758","0.818","0.707"
"134","16","44","5","C4","Lomandra","Light",1,"0.703","0.771","0.627"
"135","16","48","60","C4","Lomandra","Light",1,"0.395","0.782","0.236"
"136","16","52","30","C4","Lomandra","Light",1,"0.073","0.722","0.056"
"137","16","44","30","C4","Lomandra","Light",1,"0.753","0.753","0.677"
"138","16","48","5","C4","Lomandra","Light",1,"0.676","0.813",NA
"139","16","44","60","C4","Lomandra","Light",1,"0.702","0.739","0.386"
"140","16","48","30","C4","Lomandra","Light",1,"0.444","0.773","0.227"
"141","16","40","120","C4","Lomandra","Light",1,"0.656","0.755","0.551"
"142","16","30","60","C4","Lomandra","Light",1,"0.694","0.757","0.597"
"143","16","52","15","C4","Lomandra","Light",1,"0.142","0.787","0.209"
"144","16","40","30","C4","Lomandra","Light",1,"0.733","0.784","0.697"
"145","16","35","120","C4","Lomandra","Light",1,"0.715","0.773","0.643"
"146","16","44","15","C4","Lomandra","Light",1,"0.749","0.79","0.689"
"147","16","40","60","C4","Lomandra","Light",1,"0.738","0.82","0.816"
"148","16","52","5","C4","Lomandra","Light",1,"0.379","0.814","0.382"
"149","16","35","30","C4","Lomandra","Light",1,"0.737","0.778","0.686"
"150","16","40","15","C4","Lomandra","Light",1,"0.745","0.794","0.685"
"151","16","35","60","C4","Lomandra","Light",1,"0.711","0.76","0.705"
"152","16","44","120","C4","Lomandra","Light",1,"0.59","0.771","0.429"
"153","17","48","5","C5","Lomandra","Light",1,"0.719","0.785",NA
"154","17","40","120","C5","Lomandra","Light",1,"0.745","0.802","0.656"
"155","17","44","15","C5","Lomandra","Light",1,"0.755","0.787","0.696"
"156","17","40","15","C5","Lomandra","Light",1,"0.75","0.804","0.712"
"157","17","48","60","C5","Lomandra","Light",1,"0.531","0.751","0.354"
"158","17","30","60","C5","Lomandra","Light",1,"0.713","0.811","0.65"
"159","17","44","5","C5","Lomandra","Light",1,"0.714","0.772","0.647"
"160","17","40","30","C5","Lomandra","Light",1,"0.77","0.789","0.718"
"161","17","48","30","C5","Lomandra","Light",1,"0.52","0.786","0.196"
"162","17","35","120","C5","Lomandra","Light",1,"0.69","0.82","0.636"
"163","17","52","15","C5","Lomandra","Light",1,"0.138","0.787","0.219"
"164","17","35","30","C5","Lomandra","Light",1,"0.758","0.78","0.702"
"165","17","44","120","C5","Lomandra","Light",1,"0.643","0.772","0.423"
"166","17","40","60","C5","Lomandra","Light",1,"0.673","0.802","0.759"
"167","17","44","30","C5","Lomandra","Light",1,"0.742","0.765","0.661"
