unique_sample,response_type,threshold,ctmax_1h,ctmax_1m,z_1h,z_1m,r_squared_1h,r_squared_1m,valid_fit,issues
1,fvfm_io,T90,44.249241645846205,54.00638605060442,-5.487240977196437,-5.487240977196437,0.9964199418520356,0.9964199418520359,TRUE,NA
2,fvfm_io,T90,45.947801547953404,54.37903895493892,-4.7415749392333435,-4.741574939233345,0.9948785358394402,0.9948785358394402,TRUE,NA
3,fvfm_io,T90,44.3654784667017,52.41348900662904,-4.526055102562812,-4.526055102562813,0.9827416782962175,0.9827416782962175,TRUE,NA
4,fvfm_io,T90,49.4978024399795,65.94828538639737,-9.251453127437056,-9.251453127437056,0.9686867713856401,0.9686867713856401,TRUE,NA
5,fvfm_io,T90,47.3269493874167,50.02165915948257,-1.5154558823297348,-1.515455882329735,0.9486177189627947,0.9486177189627947,TRUE,NA
6,fvfm_io,T90,44.45169912018561,56.03942251245692,-6.516725385296221,-6.5167253852962235,0.9932019932966691,0.9932019932966691,TRUE,NA
7,fvfm_io,T90,43.19303291226751,53.711763594387016,-5.91554328117478,-5.915543281174781,0.9926841179049894,0.9926841179049894,TRUE,NA
8,fvfm_io,T90,50.24453024056403,58.750113698464126,-4.783385809314576,-4.783385809314576,0.9851761326337994,0.9851761326337994,TRUE,NA
9,fvfm_io,T90,49.307743137238496,61.067546767498136,-6.613500188874487,-6.613500188874489,0.9742279593478191,0.9742279593478189,TRUE,NA
10,fvfm_io,T90,52.593462402871694,72.68896189680405,-11.30134429767808,-11.301344297678082,0.9742476728380479,0.9742476728380479,TRUE,NA
11,fvfm_io,T90,50.944138642324305,62.156999980554644,-6.305909767693337,-6.305909767693338,0.9884389250714867,0.9884389250714867,TRUE,NA
12,fvfm_io,T90,55.388535012618306,71.48667759967319,-9.053303302281867,-9.053303302281869,0.982665744399791,0.982665744399791,TRUE,NA
13,fvfm_io,T90,52.29441701710764,59.72931755230187,-4.181253160320373,-4.181253160320373,0.9793842736537726,0.9793842736537727,TRUE,NA
14,fvfm_io,T90,53.59600241045575,68.61973962706382,-8.449077216219171,-8.449077216219173,0.9800786169532126,0.9800786169532126,TRUE,NA
15,fvfm_io,T90,49.8476567544413,64.95573527686872,-8.496509236302474,-8.496509236302476,0.9243032014162538,0.924303201416254,TRUE,NA
16,fvfm_io,T90,57.36096142120116,66.87852403153055,-5.352504523040955,-5.352504523040956,0.9344002459215349,0.9344002459215351,TRUE,NA
17,fvfm_io,T90,47.03690187630573,51.27679080610549,-2.3844366045267407,-2.384436604526741,0.9976586446373293,0.9976586446373293,TRUE,NA
18,fvfm_io,T90,43.94399796590579,60.957372976465024,-9.568013411057427,-9.568013411057429,0.9735284334886704,0.9735284334886704,TRUE,NA
19,fvfm_io,T90,43.66769234267584,61.225580507922224,-9.874237729472217,-9.874237729472219,0.9833712753935137,0.9833712753935137,TRUE,NA
20,fvfm_io,T90,49.297802352956005,62.17055452741735,-7.239402256520074,-7.239402256520077,0.9808134118156181,0.980813411815618,TRUE,NA
21,fvfm_io,T90,58.120284934445564,64.14223419471304,-3.386635000238713,-3.386635000238714,0.5806112545316348,0.5806112545316351,TRUE,NA
22,fvfm_io,T90,NA,NA,NA,NA,0.005933603099300973,0.005933603099300962,FALSE,Poor fit (R² = 0.006); CTmax out of range (130.0°C); z out of range (129.3)
23,fvfm_io,T90,58.91502059096805,74.08306869730173,-8.530235042188403,-8.530235042188403,0.13918692397948695,0.13918692397948693,TRUE,NA
24,fvfm_io,T90,NA,NA,NA,NA,NA,NA,FALSE,Insufficient data points
25,fvfm_io,T90,NA,NA,NA,NA,0.3593638752725986,0.35936387527259867,FALSE,z out of range (5.8)
26,fvfm_io,T90,58.11759175586766,79.85399178442606,-12.224156985446925,-12.224156985446925,0.17351920836151064,0.1735192083615106,TRUE,NA
27,fvfm_io,T90,60.66113245261101,67.88397635402652,-4.061996357091197,-4.061996357091197,0.3986051115431133,0.39860511154311357,TRUE,NA
28,fvfm_io,T90,NA,NA,NA,NA,NA,NA,FALSE,Insufficient data points
29,fvfm_io,T90,51.708263947481214,62.52155741669603,-6.0812000480171715,-6.081200048017172,0.985414339138724,0.985414339138724,TRUE,NA
30,fvfm_io,T90,53.80403988342331,65.98125862210536,-6.848246872168362,-6.848246872168366,0.9845255261649902,0.9845255261649902,TRUE,NA
31,fvfm_io,T90,51.26089394843739,63.10643927386604,-6.661719762519028,-6.66171976251903,0.9903042297998571,0.9903042297998571,TRUE,NA
32,fvfm_io,T90,NA,NA,NA,NA,0.024751691232054812,0.024751691232054833,FALSE,Poor fit (R² = 0.025)
33,fvfm_io,T90,44.84035260372324,52.0613790400924,-4.06097424772566,-4.060974247725661,0.9770084007955102,0.9770084007955102,TRUE,NA
34,fvfm_io,T90,44.69143547891188,54.39195725250103,-5.45539743680197,-5.455397436801971,0.9823429915707825,0.9823429915707825,TRUE,NA
35,fvfm_io,T90,44.42302119602245,53.526284801679935,-5.119510279957016,-5.119510279957017,0.9839319263228136,0.9839319263228136,TRUE,NA
36,fvfm_io,T90,48.80000476806836,67.98917929691656,-10.791643581898919,-10.79164358189892,0.9652446302885873,0.9652446302885873,TRUE,NA
37,fvfm_io,T90,50.06851256791058,58.42363578100919,-4.6987696976260915,-4.698769697626093,0.9819516377458969,0.9819516377458968,TRUE,NA
38,fvfm_io,T90,52.10695535097075,68.80005521624423,-9.387896480500117,-9.387896480500117,0.9939614551036525,0.9939614551036525,TRUE,NA
39,fvfm_io,T90,51.04974831309254,64.48905836756181,-7.55802412847033,-7.558024128470332,0.9822256970722902,0.9822256970722902,TRUE,NA
40,fvfm_io,T90,57.99785866754711,72.09499348805542,-7.927972841155542,-7.927972841155544,0.2760586963895927,0.2760586963895929,TRUE,NA
41,fvfm_io,T90,49.903568292603545,57.39334377674258,-4.2121138359422945,-4.2121138359422945,0.9892355153400044,0.9892355153400044,TRUE,NA
42,fvfm_io,T90,50.926274720532575,71.27212745208709,-11.442138416045763,-11.44213841604577,0.9800720745128318,0.9800720745128318,TRUE,NA
43,fvfm_io,T90,51.16862017370409,62.51943374267373,-6.38349159922175,-6.383491599221751,0.9807933561156041,0.9807933561156041,TRUE,NA
44,fvfm_io,T90,53.5874626325412,84.87570307836761,-17.595938725165155,-17.595938725165155,0.9825289604033207,0.9825289604033207,TRUE,NA
