"","AOI","Light","Temp","Time","Cell","Species","final_fvfm","initial_fvfm","post","fvfm_prop_io","unique_sample1","unique_sample","Species_sample"
"287",12,"None",30,60,"C2","Populus nigra",0.86,0.854,0.829,1,4,60,"Populus nigra_60"
"288",12,"Moderate",44,5,"C2","Populus nigra",0.794,0.873,0.736,0.90950744558992,4,59,"Populus nigra_59"
"289",12,"High",52,30,"C2","Populus nigra",0.185,0.842,0.145,0.219714964370546,4,57,"Populus nigra_57"
"290",12,"Moderate",44,15,"C2","Populus nigra",0.486,0.857,0.503,0.567094515752625,4,59,"Populus nigra_59"
"291",12,"None",52,5,"C2","Populus nigra",0.708,0.859,0.668,0.824214202561118,4,60,"Populus nigra_60"
"292",12,"Low",40,60,"C2","Populus nigra",0.834,0.847,0.649,0.984651711924439,4,58,"Populus nigra_58"
"293",12,"Low",48,15,"C2","Populus nigra",0.472,0.878,0.535,0.537585421412301,4,58,"Populus nigra_58"
"294",12,"Moderate",48,5,"C2","Populus nigra",0.562,0.838,0.389,0.670644391408115,4,59,"Populus nigra_59"
"295",12,"Moderate",30,30,"C2","Populus nigra",0.864,0.849,0.847,1,4,59,"Populus nigra_59"
"296",12,"Low",30,60,"C2","Populus nigra",0.829,0.839,0.798,0.9880810488677,4,58,"Populus nigra_58"
"297",12,"High",48,60,"C2","Populus nigra",0.169,0.828,0.117,0.204106280193237,4,57,"Populus nigra_57"
"298",12,"Moderate",42,15,"C2","Populus nigra",0.791,0.861,0.681,0.91869918699187,4,59,"Populus nigra_59"
"299",12,"Moderate",30,60,"C2","Populus nigra",0.851,0.829,0.786,1,4,59,"Populus nigra_59"
"300",12,"Moderate",54,15,"C2","Populus nigra",0,0.848,0,0,4,59,"Populus nigra_59"
"301",12,"High",52,5,"C2","Populus nigra",0.204,0.834,0.122,0.244604316546763,4,57,"Populus nigra_57"
"302",12,"High",30,15,"C2","Populus nigra",0.837,0.826,0.809,1,4,57,"Populus nigra_57"
"303",12,"Low",42,15,"C2","Populus nigra",0.828,0.832,NA,0.995192307692308,4,58,"Populus nigra_58"
"304",12,"High",52,15,"C2","Populus nigra",0.109,0.849,0.156,0.128386336866902,4,57,"Populus nigra_57"
"305",12,"None",52,60,"C2","Populus nigra",0.204,0.863,0.18,0.236384704519119,4,60,"Populus nigra_60"
"306",12,"Moderate",54,5,"C2","Populus nigra",0.356,0.844,0.145,0.421800947867299,4,59,"Populus nigra_59"
"307",12,"Moderate",30,5,"C2","Populus nigra",0.841,0.849,0.826,0.99057714958775,4,59,"Populus nigra_59"
"308",12,"Moderate",58,5,"C2","Populus nigra",0,0.828,0,0,4,59,"Populus nigra_59"
"309",12,"High",30,30,"C2","Populus nigra",0.819,0.828,0.779,0.989130434782609,4,57,"Populus nigra_57"
"310",12,"Low",48,30,"C2","Populus nigra",0.471,0.871,0.445,0.540757749712974,4,58,"Populus nigra_58"
"311",12,"Moderate",44,60,"C2","Populus nigra",0.401,0.88,0.26,0.455681818181818,4,59,"Populus nigra_59"
"312",12,"Moderate",42,30,"C2","Populus nigra",0.815,0.851,0.579,0.957696827262045,4,59,"Populus nigra_59"
"313",12,"Moderate",40,60,"C2","Populus nigra",0.79,0.86,0.626,0.918604651162791,4,59,"Populus nigra_59"
"314",12,"Low",42,30,"C2","Populus nigra",0.853,0.865,0.712,0.986127167630058,4,58,"Populus nigra_58"
"315",12,"Moderate",48,60,"C2","Populus nigra",0.095,0.823,0,0.11543134872418,4,59,"Populus nigra_59"
"316",12,"None",30,15,"C2","Populus nigra",0.846,0.848,0.857,0.997641509433962,4,60,"Populus nigra_60"
"317",12,"Moderate",44,30,"C2","Populus nigra",0.819,0.858,0.516,0.954545454545454,4,59,"Populus nigra_59"
"318",12,"None",54,15,"C2","Populus nigra",0.19,0.843,0.63,0.225385527876631,4,60,"Populus nigra_60"
"319",12,"Moderate",52,15,"C2","Populus nigra",0.2,0.832,0.262,0.240384615384615,4,59,"Populus nigra_59"
"320",12,"None",30,30,"C2","Populus nigra",0.833,0.857,0.828,0.971995332555426,4,60,"Populus nigra_60"
"321",12,"High",30,5,"C2","Populus nigra",0.862,0.833,0.796,1,4,57,"Populus nigra_57"
"322",12,"Low",48,5,"C2","Populus nigra",0.752,0.856,0.705,0.878504672897196,4,58,"Populus nigra_58"
"323",12,"Low",58,5,"C2","Populus nigra",0,0.85,0.073,0,4,58,"Populus nigra_58"
"324",12,"Low",44,15,"C2","Populus nigra",0.792,0.839,0.547,0.943980929678188,4,58,"Populus nigra_58"
"325",12,"High",44,30,"C2","Populus nigra",0.68,0.838,0.511,0.81145584725537,4,57,"Populus nigra_57"
"326",12,"Moderate",52,5,"C2","Populus nigra",0.437,0.848,0.288,0.515330188679245,4,59,"Populus nigra_59"
"327",12,"Low",44,30,"C2","Populus nigra",0.767,0.833,0.552,0.920768307322929,4,58,"Populus nigra_58"
"328",12,"High",44,5,"C2","Populus nigra",0.788,0.877,0.575,0.898517673888255,4,57,"Populus nigra_57"
"329",12,"Moderate",52,60,"C2","Populus nigra",0,0.841,0,0,4,59,"Populus nigra_59"
"330",12,"Low",54,15,"C2","Populus nigra",0.368,0.829,0.246,0.443908323281062,4,58,"Populus nigra_58"
"331",12,"Low",52,15,"C2","Populus nigra",0.392,0.862,0.214,0.454756380510441,4,58,"Populus nigra_58"
"332",12,"Low",48,60,"C2","Populus nigra",0.236,0.869,0.194,0.271576524741082,4,58,"Populus nigra_58"
"333",12,"None",54,5,"C2","Populus nigra",0.64,0.841,0.692,0.760998810939358,4,60,"Populus nigra_60"
"334",12,"Low",52,30,"C2","Populus nigra",0,0.85,0.073,0,4,58,"Populus nigra_58"
"335",12,"Moderate",52,30,"C2","Populus nigra",0.077,0.836,0,0.0921052631578947,4,59,"Populus nigra_59"
"336",12,"High",30,60,"C2","Populus nigra",0.835,0.845,0.746,0.988165680473373,4,57,"Populus nigra_57"
"337",12,"High",40,60,"C2","Populus nigra",0.495,0.839,0.47,0.589988081048868,4,57,"Populus nigra_57"
