unique_sample,response_type,threshold,Time,temperature,temperature_sd
1,fvfm_io,T90,5,49.818698397832804,1.5654138882979332
1,fvfm_io,T90,15,47.52431811502751,0.4825030130348113
1,fvfm_io,T90,30,46.5436426105659,0.597797023459875
1,fvfm_io,T90,60,45.05364980770772,1.0018414480793008
1,fvfm_io,T90,120,43.82482897498623,1.0265335570303336
2,fvfm_io,T90,5,59.58761927422379,3.99507348457018
2,fvfm_io,T90,15,59.84980107457652,3.33919676629257
2,fvfm_io,T90,30,61.398779397796915,4.149796167912853
2,fvfm_io,T90,60,60.239329253956036,4.846703549927095
2,fvfm_io,T90,120,61.22876206690881,5.779511878000308
3,fvfm_io,T90,5,48.32547167111141,0.9468345339915132
3,fvfm_io,T90,15,46.99216764356383,0.4414258314672577
3,fvfm_io,T90,30,45.76817446642425,0.7184963449986118
3,fvfm_io,T90,60,44.13077152408623,0.6989760399734464
3,fvfm_io,T90,120,42.944741334106894,0.6871914839747709
4,fvfm_io,T90,5,47.93402008925249,1.0364598003267462
4,fvfm_io,T90,15,46.87075516479065,0.4776435930116791
4,fvfm_io,T90,30,45.879164004098385,0.6731879280022409
4,fvfm_io,T90,60,44.469231058005434,0.8253308207091185
4,fvfm_io,T90,120,43.4001406857369,0.8359852539525627
5,fvfm_io,T90,5,53.74450988114146,1.9432686564429342
5,fvfm_io,T90,15,51.99480164862634,0.8506842409728466
5,fvfm_io,T90,30,51.28801365639163,0.8317848313551649
5,fvfm_io,T90,60,50.19604045325333,1.1154770099838152
5,fvfm_io,T90,120,49.01836803316949,1.7441569444455653
6,fvfm_io,T90,5,51.565945505158815,1.4318198762306953
6,fvfm_io,T90,15,50.87745976861704,1.0490626426315
6,fvfm_io,T90,30,50.37572995513436,1.5263366743991826
6,fvfm_io,T90,60,49.82070022643124,2.2743136650435067
6,fvfm_io,T90,120,49.069572472941715,3.4039600254293636
7,fvfm_io,T90,5,58.68725805054858,3.649665342799734
7,fvfm_io,T90,15,56.98347325035907,2.5489936383188785
7,fvfm_io,T90,30,57.37377381117166,3.4301407247383486
7,fvfm_io,T90,60,55.453151583495654,4.053624323885863
7,fvfm_io,T90,120,54.73137565892931,5.03652714047988
8,fvfm_io,T90,5,58.262062485150516,3.2456258428967155
8,fvfm_io,T90,15,58.813897330282494,2.95463303359775
8,fvfm_io,T90,30,60.440061756631955,3.9027487095085287
8,fvfm_io,T90,60,59.605890198630824,4.62836926363989
8,fvfm_io,T90,120,60.353400185662835,5.919933199926088
9,fvfm_io,T90,5,58.054788743074475,2.970050403630206
9,fvfm_io,T90,15,58.31768417531763,2.4491881462911236
9,fvfm_io,T90,30,60.106356626177735,3.654657215634964
9,fvfm_io,T90,60,59.234932754500726,4.636249609255744
9,fvfm_io,T90,120,59.79145211000421,6.0996576738907695
10,fvfm_io,T90,5,51.53652519173672,1.7459553656780125
10,fvfm_io,T90,15,51.80878891571003,1.4062312138539204
10,fvfm_io,T90,30,52.33343528832641,1.6406710824020605
10,fvfm_io,T90,60,52.77081331330652,2.16330760082622
10,fvfm_io,T90,120,53.63796465854648,3.85220632730676
11,fvfm_io,T90,5,53.38262854677264,2.3506778198592557
11,fvfm_io,T90,15,51.81204451742911,1.2487945066947184
11,fvfm_io,T90,30,51.02914827961995,1.253174950255434
11,fvfm_io,T90,60,49.92354404807513,1.7961515206410525
11,fvfm_io,T90,120,48.84351540101052,2.267037075320394
12,fvfm_io,T90,5,51.75876257652748,1.690902384123818
12,fvfm_io,T90,15,51.55435970509615,1.1071931102862498
12,fvfm_io,T90,30,51.660004643922946,1.660060460439301
12,fvfm_io,T90,60,51.64146155377561,2.3330090546228974
12,fvfm_io,T90,120,51.8876702273324,4.284420978554533
