"","X","AOI","Temp","Time","Cell","Species","Recovery","Day","final_fvfm","initial_fvfm","post","fvfm_prop_io","unique_sample","Species_sample"
"465",465,31,44,15,"B1","Lomandra longifolia","Dark",1,0.776,0.795,0.752,0.976100628930818,25,"Lomandra longifolia_25"
"466",466,31,40,120,"B1","Lomandra longifolia","Dark",1,0.717,0.759,0.691,0.944664031620553,25,"Lomandra longifolia_25"
"467",467,31,30,60,"B1","Lomandra longifolia","Dark",1,0.795,0.804,0.748,0.988805970149254,25,"Lomandra longifolia_25"
"468",468,31,48,5,"B1","Lomandra longifolia","Dark",1,0.763,0.789,NA,0.967046894803549,25,"Lomandra longifolia_25"
"469",469,31,35,120,"B1","Lomandra longifolia","Dark",1,0.773,0.818,0.747,0.944987775061125,25,"Lomandra longifolia_25"
"470",470,31,35,30,"B1","Lomandra longifolia","Dark",1,0.747,0.761,0.725,0.981603153745072,25,"Lomandra longifolia_25"
"471",471,31,52,5,"B1","Lomandra longifolia","Dark",1,0.638,0.806,0.653,0.791563275434243,25,"Lomandra longifolia_25"
"472",472,31,40,15,"B1","Lomandra longifolia","Dark",1,0.75,0.801,0.726,0.936329588014981,25,"Lomandra longifolia_25"
"473",473,31,35,60,"B1","Lomandra longifolia","Dark",1,0.751,0.762,0.739,0.985564304461942,25,"Lomandra longifolia_25"
"474",474,31,48,60,"B1","Lomandra longifolia","Dark",1,0.393,0.766,0.27,0.513054830287206,25,"Lomandra longifolia_25"
"475",475,31,44,30,"B1","Lomandra longifolia","Dark",1,0.743,0.766,0.709,0.969973890339426,25,"Lomandra longifolia_25"
"476",476,32,44,5,"B2","Eucalyptus pauciflora","Dark",1,0.79,0.806,0.629,0.98014888337469,26,"Eucalyptus pauciflora_26"
"477",477,32,30,60,"B2","Eucalyptus pauciflora","Dark",1,0.771,0.807,0.707,0.955390334572491,26,"Eucalyptus pauciflora_26"
"478",478,32,40,15,"B2","Eucalyptus pauciflora","Dark",1,0.764,0.827,0.744,0.923821039903265,26,"Eucalyptus pauciflora_26"
"479",479,32,40,30,"B2","Eucalyptus pauciflora","Dark",1,0.751,0.807,0.625,0.930607187112763,26,"Eucalyptus pauciflora_26"
"480",480,32,35,60,"B2","Eucalyptus pauciflora","Dark",1,0.769,0.8,0.777,0.96125,26,"Eucalyptus pauciflora_26"
"481",481,32,44,120,"B2","Eucalyptus pauciflora","Dark",1,0.393,0.815,0,0.482208588957055,26,"Eucalyptus pauciflora_26"
"482",482,32,48,60,"B2","Eucalyptus pauciflora","Dark",1,0.145,0.805,0,0.180124223602484,26,"Eucalyptus pauciflora_26"
"483",483,32,35,120,"B2","Eucalyptus pauciflora","Dark",1,0.767,0.84,0.758,0.913095238095238,26,"Eucalyptus pauciflora_26"
"484",484,32,35,30,"B2","Eucalyptus pauciflora","Dark",1,0.802,0.824,0.795,0.973300970873787,26,"Eucalyptus pauciflora_26"
"485",485,32,44,15,"B2","Eucalyptus pauciflora","Dark",1,0.654,0.811,0.576,0.806411837237978,26,"Eucalyptus pauciflora_26"
"486",486,32,52,15,"B2","Eucalyptus pauciflora","Dark",1,0,0.819,0.033,0,26,"Eucalyptus pauciflora_26"
"487",487,32,52,30,"B2","Eucalyptus pauciflora","Dark",1,0,0.808,0,0,26,"Eucalyptus pauciflora_26"
"488",488,32,40,120,"B2","Eucalyptus pauciflora","Dark",1,0.702,0.806,0.721,0.870967741935484,26,"Eucalyptus pauciflora_26"
"489",489,32,44,60,"B2","Eucalyptus pauciflora","Dark",1,0.459,0.81,0.337,0.566666666666667,26,"Eucalyptus pauciflora_26"
"490",490,32,48,30,"B2","Eucalyptus pauciflora","Dark",1,0.225,0.811,0.25,0.277435265104809,26,"Eucalyptus pauciflora_26"
"491",491,32,40,60,"B2","Eucalyptus pauciflora","Dark",1,0.769,0.842,0.802,0.913301662707839,26,"Eucalyptus pauciflora_26"
"492",492,32,44,30,"B2","Eucalyptus pauciflora","Dark",1,0.72,0.812,0.548,0.886699507389162,26,"Eucalyptus pauciflora_26"
"493",493,32,48,5,"B2","Eucalyptus pauciflora","Dark",1,0.613,0.818,NA,0.749388753056235,26,"Eucalyptus pauciflora_26"
"494",494,32,52,5,"B2","Eucalyptus pauciflora","Dark",1,0.169,0.816,0.185,0.207107843137255,26,"Eucalyptus pauciflora_26"
"495",495,33,48,60,"B3","Vicia faba","Dark",1,0,0.776,0,0,27,"Vicia faba_27"
"496",496,33,52,15,"B3","Vicia faba","Dark",1,0,0.815,0,0,27,"Vicia faba_27"
"497",497,33,44,30,"B3","Vicia faba","Dark",1,0.098,0.789,0.243,0.124207858048162,27,"Vicia faba_27"
"498",498,33,40,15,"B3","Vicia faba","Dark",1,0.657,0.825,0.556,0.796363636363636,27,"Vicia faba_27"
"499",499,33,44,15,"B3","Vicia faba","Dark",1,0.089,0.788,0.142,0.112944162436548,27,"Vicia faba_27"
"500",500,33,52,30,"B3","Vicia faba","Dark",1,0,0.793,0,0,27,"Vicia faba_27"
"501",501,33,30,60,"B3","Vicia faba","Dark",1,0.811,0.834,0.795,0.97242206235012,27,"Vicia faba_27"
"502",502,33,44,60,"B3","Vicia faba","Dark",1,0,0.796,0.1,0,27,"Vicia faba_27"
"503",503,33,48,5,"B3","Vicia faba","Dark",1,0.049,0.812,NA,0.0603448275862069,27,"Vicia faba_27"
"504",504,33,44,5,"B3","Vicia faba","Dark",1,0.456,0.812,0.46,0.561576354679803,27,"Vicia faba_27"
"505",505,33,48,30,"B3","Vicia faba","Dark",1,0,0.799,0,0,27,"Vicia faba_27"
"506",506,33,52,5,"B3","Vicia faba","Dark",1,0,0.81,0,0,27,"Vicia faba_27"
"507",507,33,35,30,"B3","Vicia faba","Dark",1,0.772,0.807,0.775,0.956629491945477,27,"Vicia faba_27"
"508",508,33,40,30,"B3","Vicia faba","Dark",1,0.749,0.811,0.593,0.923551171393342,27,"Vicia faba_27"
"509",509,33,44,120,"B3","Vicia faba","Dark",1,0,0.785,0,0,27,"Vicia faba_27"
"510",510,33,35,120,"B3","Vicia faba","Dark",1,0.739,0.822,0.702,0.899026763990268,27,"Vicia faba_27"
"511",511,33,40,60,"B3","Vicia faba","Dark",1,0.457,0.829,0.714,0.551266586248492,27,"Vicia faba_27"
"512",512,33,35,60,"B3","Vicia faba","Dark",1,0.75,0.788,0.771,0.951776649746193,27,"Vicia faba_27"
"513",513,33,40,120,"B3","Vicia faba","Dark",1,0.255,0.797,0.283,0.319949811794228,27,"Vicia faba_27"
"514",514,34,48,30,"B4","Lomandra longifolia","Dark",1,0.531,0.796,0.407,0.667085427135678,28,"Lomandra longifolia_28"
"515",515,34,44,15,"B4","Lomandra longifolia","Dark",1,0.754,0.784,0.691,0.961734693877551,28,"Lomandra longifolia_28"
"516",516,34,44,5,"B4","Lomandra longifolia","Dark",1,0.783,0.788,0.766,0.993654822335025,28,"Lomandra longifolia_28"
"517",517,34,30,60,"B4","Lomandra longifolia","Dark",1,0.802,0.814,0.74,0.985257985257985,28,"Lomandra longifolia_28"
"518",518,34,40,60,"B4","Lomandra longifolia","Dark",1,0.739,0.807,0.84,0.915737298636927,28,"Lomandra longifolia_28"
"519",519,34,52,5,"B4","Lomandra longifolia","Dark",1,0.4,0.762,0.45,0.5249343832021,28,"Lomandra longifolia_28"
"520",520,34,44,60,"B4","Lomandra longifolia","Dark",1,0.793,0.788,0.723,1,28,"Lomandra longifolia_28"
"521",521,34,44,120,"B4","Lomandra longifolia","Dark",1,0.73,0.769,0.567,0.949284785435631,28,"Lomandra longifolia_28"
"522",522,34,40,15,"B4","Lomandra longifolia","Dark",1,0.773,0.822,0.745,0.940389294403893,28,"Lomandra longifolia_28"
"523",523,34,48,60,"B4","Lomandra longifolia","Dark",1,0.376,0.767,0,0.490221642764016,28,"Lomandra longifolia_28"
"524",524,34,48,5,"B4","Lomandra longifolia","Dark",1,0.708,0.79,NA,0.89620253164557,28,"Lomandra longifolia_28"
"525",525,34,40,120,"B4","Lomandra longifolia","Dark",1,0.69,0.747,0.619,0.923694779116466,28,"Lomandra longifolia_28"
"526",526,34,35,60,"B4","Lomandra longifolia","Dark",1,0.737,0.728,0.741,1,28,"Lomandra longifolia_28"
"527",527,34,35,30,"B4","Lomandra longifolia","Dark",1,0.775,0.791,0.756,0.979772439949431,28,"Lomandra longifolia_28"
"528",528,34,35,120,"B4","Lomandra longifolia","Dark",1,0.75,0.815,0.722,0.920245398773006,28,"Lomandra longifolia_28"
"529",529,34,44,30,"B4","Lomandra longifolia","Dark",1,0.736,0.779,0.718,0.944801026957638,28,"Lomandra longifolia_28"
"530",530,34,52,30,"B4","Lomandra longifolia","Dark",1,0.079,0.778,0.107,0.101542416452442,28,"Lomandra longifolia_28"
"531",531,34,40,30,"B4","Lomandra longifolia","Dark",1,0.766,0.765,0.736,1,28,"Lomandra longifolia_28"
"532",532,34,52,15,"B4","Lomandra longifolia","Dark",1,0.322,0.808,0.446,0.398514851485148,28,"Lomandra longifolia_28"
"533",533,35,40,120,"B5","Vicia faba","Dark",1,0.273,0.824,0.286,0.33131067961165,29,"Vicia faba_29"
"534",534,35,44,15,"B5","Vicia faba","Dark",1,0.139,0.786,0.112,0.176844783715013,29,"Vicia faba_29"
"535",535,35,30,60,"B5","Vicia faba","Dark",1,0.813,0.835,0.791,0.973652694610778,29,"Vicia faba_29"
"536",536,35,52,30,"B5","Vicia faba","Dark",1,0,0.79,0,0,29,"Vicia faba_29"
"537",537,35,48,60,"B5","Vicia faba","Dark",1,0,0.802,0,0,29,"Vicia faba_29"
"538",538,35,48,5,"B5","Vicia faba","Dark",1,0.117,0.839,NA,0.139451728247914,29,"Vicia faba_29"
"539",539,35,52,15,"B5","Vicia faba","Dark",1,0,0.804,0,0,29,"Vicia faba_29"
"540",540,35,40,60,"B5","Vicia faba","Dark",1,0.491,0.835,0.669,0.588023952095808,29,"Vicia faba_29"
