"","X","AOI","Temp","Time","Cell","Species","Recovery","Day","final_fvfm","initial_fvfm","post","fvfm_prop_io","unique_sample","Species_sample"
"637",637,4,35,120,"A4","Populus nigra","Light",1,0.801,0.847,0.773,0.9456906729634,34,"Populus nigra_34"
"638",638,4,44,30,"A4","Populus nigra","Light",1,0.686,0.824,0.471,0.83252427184466,34,"Populus nigra_34"
"639",639,4,52,15,"A4","Populus nigra","Light",1,0,0.817,0.124,0,34,"Populus nigra_34"
"640",640,4,44,120,"A4","Populus nigra","Light",1,0.325,0.833,0,0.39015606242497,34,"Populus nigra_34"
"641",641,4,35,30,"A4","Populus nigra","Light",1,0.81,0.841,0.79,0.963139120095125,34,"Populus nigra_34"
"642",642,4,48,30,"A4","Populus nigra","Light",1,0.25,0.838,0.188,0.298329355608592,34,"Populus nigra_34"
"643",643,4,52,30,"A4","Populus nigra","Light",1,0,0.817,0,0,34,"Populus nigra_34"
"644",644,4,44,60,"A4","Populus nigra","Light",1,0.416,0.828,0,0.502415458937198,34,"Populus nigra_34"
"645",645,4,40,60,"A4","Populus nigra","Light",1,0.62,0.834,0.718,0.743405275779377,34,"Populus nigra_34"
"646",646,4,35,60,"A4","Populus nigra","Light",1,0.768,0.804,0.739,0.955223880597015,34,"Populus nigra_34"
"647",647,40,40,15,"C4","Lomandra longifolia","Dark",1,0.764,0.82,0.741,0.931707317073171,35,"Lomandra longifolia_35"
"648",648,40,30,60,"C4","Lomandra longifolia","Dark",1,0.794,0.781,0.741,1,35,"Lomandra longifolia_35"
"649",649,40,48,30,"C4","Lomandra longifolia","Dark",1,0.677,0.782,0.56,0.865728900255755,35,"Lomandra longifolia_35"
"650",650,40,44,30,"C4","Lomandra longifolia","Dark",1,0.75,0.786,0.716,0.954198473282443,35,"Lomandra longifolia_35"
"651",651,40,35,120,"C4","Lomandra longifolia","Dark",1,0.738,0.797,0.726,0.925972396486825,35,"Lomandra longifolia_35"
"652",652,40,35,60,"C4","Lomandra longifolia","Dark",1,0.764,0.759,0.77,1,35,"Lomandra longifolia_35"
"653",653,40,35,30,"C4","Lomandra longifolia","Dark",1,0.767,0.785,0.747,0.977070063694268,35,"Lomandra longifolia_35"
"654",654,40,44,5,"C4","Lomandra longifolia","Dark",1,0.734,0.758,0.728,0.968337730870712,35,"Lomandra longifolia_35"
"655",655,40,48,60,"C4","Lomandra longifolia","Dark",1,0.563,0.763,0.51,0.737876802096985,35,"Lomandra longifolia_35"
"656",656,40,40,30,"C4","Lomandra longifolia","Dark",1,0.8,0.788,0.765,1,35,"Lomandra longifolia_35"
"657",657,40,44,120,"C4","Lomandra longifolia","Dark",1,0.69,0.766,0.484,0.900783289817232,35,"Lomandra longifolia_35"
"658",658,40,52,15,"C4","Lomandra longifolia","Dark",1,0.225,0.797,0.354,0.282308657465496,35,"Lomandra longifolia_35"
"659",659,40,40,60,"C4","Lomandra longifolia","Dark",1,0.708,0.819,0.839,0.864468864468865,35,"Lomandra longifolia_35"
"660",660,40,44,60,"C4","Lomandra longifolia","Dark",1,0.752,0.775,0.638,0.970322580645161,35,"Lomandra longifolia_35"
"661",661,40,44,15,"C4","Lomandra longifolia","Dark",1,0.713,0.771,0.666,0.924773022049287,35,"Lomandra longifolia_35"
"662",662,40,48,5,"C4","Lomandra longifolia","Dark",1,0.755,0.795,NA,0.949685534591195,35,"Lomandra longifolia_35"
"663",663,40,52,30,"C4","Lomandra longifolia","Dark",1,0.06,0.766,0.09,0.0783289817232376,35,"Lomandra longifolia_35"
"664",664,40,40,120,"C4","Lomandra longifolia","Dark",1,0.743,0.777,0.664,0.956241956241956,35,"Lomandra longifolia_35"
"665",665,40,52,5,"C4","Lomandra longifolia","Dark",1,0.474,0.813,0.526,0.583025830258303,35,"Lomandra longifolia_35"
"666",666,41,52,15,"C5","Lomandra longifolia","Dark",1,0.2,0.792,0.359,0.252525252525253,36,"Lomandra longifolia_36"
"667",667,41,52,30,"C5","Lomandra longifolia","Dark",1,0.155,0.741,0.242,0.209176788124157,36,"Lomandra longifolia_36"
"668",668,41,48,60,"C5","Lomandra longifolia","Dark",1,0.589,0.763,0.381,0.771952817824377,36,"Lomandra longifolia_36"
"669",669,41,48,5,"C5","Lomandra longifolia","Dark",1,0.744,0.806,NA,0.923076923076923,36,"Lomandra longifolia_36"
"670",670,41,30,60,"C5","Lomandra longifolia","Dark",1,0.817,0.822,0.772,0.993917274939173,36,"Lomandra longifolia_36"
"671",671,41,48,30,"C5","Lomandra longifolia","Dark",1,0.74,0.783,0.629,0.945083014048531,36,"Lomandra longifolia_36"
"672",672,41,44,30,"C5","Lomandra longifolia","Dark",1,0.754,0.789,0.73,0.955640050697085,36,"Lomandra longifolia_36"
"673",673,41,35,30,"C5","Lomandra longifolia","Dark",1,0.801,0.803,0.773,0.997509339975093,36,"Lomandra longifolia_36"
"674",674,41,40,15,"C5","Lomandra longifolia","Dark",1,0.755,0.764,0.725,0.988219895287958,36,"Lomandra longifolia_36"
"675",675,41,52,5,"C5","Lomandra longifolia","Dark",1,0.542,0.816,0.527,0.66421568627451,36,"Lomandra longifolia_36"
"676",676,41,35,120,"C5","Lomandra longifolia","Dark",1,0.76,0.805,0.738,0.944099378881988,36,"Lomandra longifolia_36"
"677",677,41,40,60,"C5","Lomandra longifolia","Dark",1,0.737,0.817,0.825,0.902080783353733,36,"Lomandra longifolia_36"
"678",678,41,44,60,"C5","Lomandra longifolia","Dark",1,0.76,0.772,0.669,0.984455958549223,36,"Lomandra longifolia_36"
"679",679,41,35,60,"C5","Lomandra longifolia","Dark",1,0.779,0.772,0.788,1,36,"Lomandra longifolia_36"
"680",680,41,40,120,"C5","Lomandra longifolia","Dark",1,0.744,0.792,0.698,0.939393939393939,36,"Lomandra longifolia_36"
"681",681,41,44,5,"C5","Lomandra longifolia","Dark",1,0.763,0.769,0.754,0.992197659297789,36,"Lomandra longifolia_36"
"682",682,41,40,30,"C5","Lomandra longifolia","Dark",1,0.78,0.759,0.748,1,36,"Lomandra longifolia_36"
"683",683,41,44,15,"C5","Lomandra longifolia","Dark",1,0.671,0.746,0.581,0.899463806970509,36,"Lomandra longifolia_36"
"684",684,41,44,120,"C5","Lomandra longifolia","Dark",1,0.76,0.787,0.559,0.96569250317662,36,"Lomandra longifolia_36"
"685",685,42,48,60,"C6","Eucalyptus pauciflora","Dark",1,0,0.805,0,0,37,"Eucalyptus pauciflora_37"
"686",686,42,30,60,"C6","Eucalyptus pauciflora","Dark",1,0.724,0.831,0.693,0.871239470517449,37,"Eucalyptus pauciflora_37"
"687",687,42,44,60,"C6","Eucalyptus pauciflora","Dark",1,0.577,0.797,0.385,0.72396486825596,37,"Eucalyptus pauciflora_37"
"688",688,42,40,15,"C6","Eucalyptus pauciflora","Dark",1,0.72,0.831,0.789,0.866425992779783,37,"Eucalyptus pauciflora_37"
"689",689,42,48,30,"C6","Eucalyptus pauciflora","Dark",1,0.181,0.823,0.151,0.219927095990279,37,"Eucalyptus pauciflora_37"
"690",690,42,48,5,"C6","Eucalyptus pauciflora","Dark",1,0.579,0.844,NA,0.686018957345972,37,"Eucalyptus pauciflora_37"
"691",691,42,52,30,"C6","Eucalyptus pauciflora","Dark",1,0,0.807,0.061,0,37,"Eucalyptus pauciflora_37"
"692",692,42,40,30,"C6","Eucalyptus pauciflora","Dark",1,0.815,0.815,0.794,1,37,"Eucalyptus pauciflora_37"
"693",693,42,52,15,"C6","Eucalyptus pauciflora","Dark",1,0.127,0.804,0.351,0.157960199004975,37,"Eucalyptus pauciflora_37"
"694",694,42,44,120,"C6","Eucalyptus pauciflora","Dark",1,0.649,0.809,0.373,0.802224969097651,37,"Eucalyptus pauciflora_37"
"695",695,42,44,15,"C6","Eucalyptus pauciflora","Dark",1,0.535,0.797,0.543,0.671267252195734,37,"Eucalyptus pauciflora_37"
"696",696,42,40,60,"C6","Eucalyptus pauciflora","Dark",1,0.776,0.842,0.847,0.921615201900238,37,"Eucalyptus pauciflora_37"
"697",697,42,52,5,"C6","Eucalyptus pauciflora","Dark",1,0.347,0.85,0.276,0.408235294117647,37,"Eucalyptus pauciflora_37"
"698",698,42,40,120,"C6","Eucalyptus pauciflora","Dark",1,0.772,0.817,0.699,0.944920440636475,37,"Eucalyptus pauciflora_37"
"699",699,42,44,30,"C6","Eucalyptus pauciflora","Dark",1,0.462,0.826,0.48,0.559322033898305,37,"Eucalyptus pauciflora_37"
"700",700,42,35,30,"C6","Eucalyptus pauciflora","Dark",1,0.768,0.819,0.812,0.937728937728938,37,"Eucalyptus pauciflora_37"
"701",701,42,35,120,"C6","Eucalyptus pauciflora","Dark",1,0.624,0.8,0.732,0.78,37,"Eucalyptus pauciflora_37"
"702",702,42,44,5,"C6","Eucalyptus pauciflora","Dark",1,0.752,0.811,0.696,0.927250308261406,37,"Eucalyptus pauciflora_37"
"703",703,42,35,60,"C6","Eucalyptus pauciflora","Dark",1,0.775,0.8,0.801,0.96875,37,"Eucalyptus pauciflora_37"
"704",704,43,48,60,"D1","Eucalyptus pauciflora","Dark",1,0,0.809,0,0,38,"Eucalyptus pauciflora_38"
"705",705,43,40,60,"D1","Eucalyptus pauciflora","Dark",1,0.749,0.838,0.748,0.893794749403341,38,"Eucalyptus pauciflora_38"
"706",706,43,40,120,"D1","Eucalyptus pauciflora","Dark",1,0.76,0.818,0.735,0.929095354523227,38,"Eucalyptus pauciflora_38"
"707",707,43,44,15,"D1","Eucalyptus pauciflora","Dark",1,0.728,0.807,0.628,0.902106567534077,38,"Eucalyptus pauciflora_38"
"708",708,43,52,15,"D1","Eucalyptus pauciflora","Dark",1,0,0.818,0.097,0,38,"Eucalyptus pauciflora_38"
"709",709,43,48,30,"D1","Eucalyptus pauciflora","Dark",1,0.326,0.81,0,0.402469135802469,38,"Eucalyptus pauciflora_38"
"710",710,43,48,5,"D1","Eucalyptus pauciflora","Dark",1,0.734,0.832,NA,0.882211538461538,38,"Eucalyptus pauciflora_38"
"711",711,43,30,60,"D1","Eucalyptus pauciflora","Dark",1,0.806,0.823,0.782,0.979343863912515,38,"Eucalyptus pauciflora_38"
"712",712,43,44,60,"D1","Eucalyptus pauciflora","Dark",1,0.779,0.807,0.667,0.965303593556382,38,"Eucalyptus pauciflora_38"
"713",713,43,52,30,"D1","Eucalyptus pauciflora","Dark",1,0,0.798,0.055,0,38,"Eucalyptus pauciflora_38"
"714",714,43,35,30,"D1","Eucalyptus pauciflora","Dark",1,0.795,0.821,0.791,0.968331303288672,38,"Eucalyptus pauciflora_38"
"715",715,43,44,5,"D1","Eucalyptus pauciflora","Dark",1,0.814,0.809,0.805,1,38,"Eucalyptus pauciflora_38"
"716",716,43,35,120,"D1","Eucalyptus pauciflora","Dark",1,0.689,0.833,0.771,0.827130852340936,38,"Eucalyptus pauciflora_38"
"717",717,43,44,30,"D1","Eucalyptus pauciflora","Dark",1,0.686,0.81,0.511,0.846913580246914,38,"Eucalyptus pauciflora_38"
"718",718,43,44,120,"D1","Eucalyptus pauciflora","Dark",1,0.759,0.815,0.571,0.931288343558282,38,"Eucalyptus pauciflora_38"
"719",719,43,40,30,"D1","Eucalyptus pauciflora","Dark",1,0.81,0.821,0.791,0.986601705237515,38,"Eucalyptus pauciflora_38"
"720",720,43,52,5,"D1","Eucalyptus pauciflora","Dark",1,0.323,0.823,0.278,0.392466585662211,38,"Eucalyptus pauciflora_38"
"721",721,43,35,60,"D1","Eucalyptus pauciflora","Dark",1,0.769,0.791,0.768,0.972187104930468,38,"Eucalyptus pauciflora_38"
"722",722,43,40,15,"D1","Eucalyptus pauciflora","Dark",1,0.786,0.832,0.747,0.944711538461539,38,"Eucalyptus pauciflora_38"
"723",723,44,48,5,"D2","Eucalyptus pauciflora","Dark",1,0.683,0.834,NA,0.8189448441247,39,"Eucalyptus pauciflora_39"
"724",724,44,44,60,"D2","Eucalyptus pauciflora","Dark",1,0.6,0.807,0.405,0.743494423791822,39,"Eucalyptus pauciflora_39"
"725",725,44,52,15,"D2","Eucalyptus pauciflora","Dark",1,0,0.829,0.086,0,39,"Eucalyptus pauciflora_39"
"726",726,44,48,60,"D2","Eucalyptus pauciflora","Dark",1,0,0.793,0,0,39,"Eucalyptus pauciflora_39"
"727",727,44,35,120,"D2","Eucalyptus pauciflora","Dark",1,0.771,0.834,0.748,0.924460431654676,39,"Eucalyptus pauciflora_39"
"728",728,44,48,30,"D2","Eucalyptus pauciflora","Dark",1,0.17,0.804,0.177,0.211442786069652,39,"Eucalyptus pauciflora_39"
"729",729,44,44,30,"D2","Eucalyptus pauciflora","Dark",1,0.529,0.814,0.389,0.64987714987715,39,"Eucalyptus pauciflora_39"
"730",730,44,40,30,"D2","Eucalyptus pauciflora","Dark",1,0.801,0.81,0.777,0.988888888888889,39,"Eucalyptus pauciflora_39"
"731",731,44,44,5,"D2","Eucalyptus pauciflora","Dark",1,0.815,0.818,0.807,0.996332518337408,39,"Eucalyptus pauciflora_39"
"732",732,44,30,60,"D2","Eucalyptus pauciflora","Dark",1,0.801,0.835,0.825,0.959281437125749,39,"Eucalyptus pauciflora_39"
"733",733,44,40,15,"D2","Eucalyptus pauciflora","Dark",1,0.782,0.826,0.771,0.946731234866828,39,"Eucalyptus pauciflora_39"
"734",734,44,52,5,"D2","Eucalyptus pauciflora","Dark",1,0.138,0.812,0.225,0.169950738916256,39,"Eucalyptus pauciflora_39"
"735",735,44,40,60,"D2","Eucalyptus pauciflora","Dark",1,0.791,0.836,0.846,0.946172248803828,39,"Eucalyptus pauciflora_39"
"736",736,44,52,30,"D2","Eucalyptus pauciflora","Dark",1,0,0.797,0,0,39,"Eucalyptus pauciflora_39"
"737",737,44,35,60,"D2","Eucalyptus pauciflora","Dark",1,0.774,0.803,0.778,0.963885429638854,39,"Eucalyptus pauciflora_39"
"738",738,44,35,30,"D2","Eucalyptus pauciflora","Dark",1,0.78,0.812,0.788,0.960591133004926,39,"Eucalyptus pauciflora_39"
"739",739,44,44,15,"D2","Eucalyptus pauciflora","Dark",1,0.772,0.795,0.646,0.971069182389937,39,"Eucalyptus pauciflora_39"
"740",740,44,40,120,"D2","Eucalyptus pauciflora","Dark",1,0.777,0.824,0.734,0.942961165048544,39,"Eucalyptus pauciflora_39"
"741",741,44,44,120,"D2","Eucalyptus pauciflora","Dark",1,0.719,0.814,0.487,0.883292383292383,39,"Eucalyptus pauciflora_39"
"742",742,45,44,5,"D3","Vicia faba","Dark",1,0.51,0.793,0.559,0.64312736443884,40,"Vicia faba_40"
"743",743,45,35,120,"D3","Vicia faba","Dark",1,0.749,0.832,0.75,0.900240384615385,40,"Vicia faba_40"
"744",744,45,48,60,"D3","Vicia faba","Dark",1,0,0.794,0,0,40,"Vicia faba_40"
"745",745,45,52,15,"D3","Vicia faba","Dark",1,0,0.821,0,0,40,"Vicia faba_40"
"746",746,45,40,30,"D3","Vicia faba","Dark",1,0.736,0.789,0.576,0.932826362484157,40,"Vicia faba_40"
"747",747,45,48,5,"D3","Vicia faba","Dark",1,0.138,0.83,NA,0.166265060240964,40,"Vicia faba_40"
"748",748,45,40,15,"D3","Vicia faba","Dark",1,0.734,0.827,0.56,0.887545344619105,40,"Vicia faba_40"
"749",749,45,44,30,"D3","Vicia faba","Dark",1,0.043,0.798,0,0.0538847117794486,40,"Vicia faba_40"
"750",750,45,40,120,"D3","Vicia faba","Dark",1,0.25,0.803,0.301,0.311332503113325,40,"Vicia faba_40"
"751",751,45,35,30,"D3","Vicia faba","Dark",1,0.776,0.813,0.715,0.954489544895449,40,"Vicia faba_40"
"752",752,45,35,60,"D3","Vicia faba","Dark",1,0.779,0.792,0.786,0.983585858585859,40,"Vicia faba_40"
"753",753,45,40,60,"D3","Vicia faba","Dark",1,0.51,0.843,0.717,0.604982206405694,40,"Vicia faba_40"
"754",754,45,30,60,"D3","Vicia faba","Dark",1,0.826,0.825,0.83,1,40,"Vicia faba_40"
"755",755,45,52,30,"D3","Vicia faba","Dark",1,0,0.79,0,0,40,"Vicia faba_40"
"756",756,45,44,60,"D3","Vicia faba","Dark",1,0.229,0.796,0.075,0.287688442211055,40,"Vicia faba_40"
"757",757,45,44,15,"D3","Vicia faba","Dark",1,0.125,0.793,0.245,0.157629255989912,40,"Vicia faba_40"
"758",758,45,44,120,"D3","Vicia faba","Dark",1,0,0.799,0,0,40,"Vicia faba_40"
"759",759,45,48,30,"D3","Vicia faba","Dark",1,0,0.807,0,0,40,"Vicia faba_40"
"760",760,45,52,5,"D3","Vicia faba","Dark",1,0,0.817,0.235,0,40,"Vicia faba_40"
"761",761,46,44,5,"D4","Populus nigra","Dark",1,0.799,0.827,0.784,0.966142684401451,41,"Populus nigra_41"
"762",762,46,40,30,"D4","Populus nigra","Dark",1,0.839,0.827,0.802,1,41,"Populus nigra_41"
"763",763,46,52,15,"D4","Populus nigra","Dark",1,0.267,0.842,0.373,0.317102137767221,41,"Populus nigra_41"
"764",764,46,35,120,"D4","Populus nigra","Dark",1,0.8,0.852,0.812,0.938967136150235,41,"Populus nigra_41"
"765",765,46,35,60,"D4","Populus nigra","Dark",1,0.809,0.816,0.821,0.991421568627451,41,"Populus nigra_41"
"766",766,46,44,15,"D4","Populus nigra","Dark",1,0.482,0.83,0.533,0.580722891566265,41,"Populus nigra_41"
"767",767,46,48,60,"D4","Populus nigra","Dark",1,0.166,0.814,0,0.203931203931204,41,"Populus nigra_41"
"768",768,46,52,30,"D4","Populus nigra","Dark",1,0,0.82,0,0,41,"Populus nigra_41"
"769",769,46,40,120,"D4","Populus nigra","Dark",1,0.796,0.827,0.745,0.962515114873035,41,"Populus nigra_41"
"770",770,46,52,5,"D4","Populus nigra","Dark",1,0.255,0.849,0.533,0.300353356890459,41,"Populus nigra_41"
"771",771,46,30,60,"D4","Populus nigra","Dark",1,0.79,0.857,0.804,0.921820303383897,41,"Populus nigra_41"
"772",772,46,48,30,"D4","Populus nigra","Dark",1,0.195,0.839,0.276,0.232419547079857,41,"Populus nigra_41"
"773",773,46,48,5,"D4","Populus nigra","Dark",1,0.654,0.859,NA,0.761350407450524,41,"Populus nigra_41"
"774",774,46,44,120,"D4","Populus nigra","Dark",1,0.422,0.812,0,0.519704433497537,41,"Populus nigra_41"
"775",775,46,35,30,"D4","Populus nigra","Dark",1,0.82,0.838,0.808,0.978520286396181,41,"Populus nigra_41"
"776",776,46,40,60,"D4","Populus nigra","Dark",1,0.818,0.864,0.878,0.946759259259259,41,"Populus nigra_41"
"777",777,46,40,15,"D4","Populus nigra","Dark",1,0.807,0.848,0.776,0.951650943396226,41,"Populus nigra_41"
"778",778,46,44,60,"D4","Populus nigra","Dark",1,0.657,0.82,0.467,0.801219512195122,41,"Populus nigra_41"
"779",779,46,44,30,"D4","Populus nigra","Dark",1,0.452,0.839,0.507,0.538736591179976,41,"Populus nigra_41"
"780",780,47,30,60,"D5","Populus nigra","Dark",1,0.854,0.852,0.796,1,42,"Populus nigra_42"
"781",781,47,52,15,"D5","Populus nigra","Dark",1,0.309,0.833,0.37,0.370948379351741,42,"Populus nigra_42"
"782",782,47,35,120,"D5","Populus nigra","Dark",1,0.813,0.854,0.811,0.951990632318501,42,"Populus nigra_42"
"783",783,47,35,30,"D5","Populus nigra","Dark",1,0.837,0.826,0.789,1,42,"Populus nigra_42"
"784",784,47,40,30,"D5","Populus nigra","Dark",1,0.837,0.833,0.813,1,42,"Populus nigra_42"
"785",785,47,52,30,"D5","Populus nigra","Dark",1,0,0.828,0,0,42,"Populus nigra_42"
"786",786,47,48,5,"D5","Populus nigra","Dark",1,0.521,0.86,NA,0.605813953488372,42,"Populus nigra_42"
"787",787,47,48,30,"D5","Populus nigra","Dark",1,0.127,0.842,0.229,0.15083135391924,42,"Populus nigra_42"
"788",788,47,44,5,"D5","Populus nigra","Dark",1,0.819,0.836,0.781,0.979665071770335,42,"Populus nigra_42"
"789",789,47,48,60,"D5","Populus nigra","Dark",1,0.24,0.816,0.146,0.294117647058824,42,"Populus nigra_42"
"790",790,47,40,60,"D5","Populus nigra","Dark",1,0.815,0.862,0.866,0.945475638051044,42,"Populus nigra_42"
"791",791,47,40,120,"D5","Populus nigra","Dark",1,0.745,0.824,0.645,0.904126213592233,42,"Populus nigra_42"
"792",792,47,44,120,"D5","Populus nigra","Dark",1,0.372,0.834,0.232,0.446043165467626,42,"Populus nigra_42"
"793",793,47,40,15,"D5","Populus nigra","Dark",1,0.82,0.844,0.795,0.971563981042654,42,"Populus nigra_42"
"794",794,47,35,60,"D5","Populus nigra","Dark",1,0.803,0.815,0.8,0.985276073619632,42,"Populus nigra_42"
"795",795,47,44,15,"D5","Populus nigra","Dark",1,0.351,0.831,0.414,0.422382671480144,42,"Populus nigra_42"
"796",796,47,44,30,"D5","Populus nigra","Dark",1,0.519,0.845,0.514,0.614201183431953,42,"Populus nigra_42"
"797",797,47,52,5,"D5","Populus nigra","Dark",1,0.213,0.857,0.546,0.248541423570595,42,"Populus nigra_42"
"798",798,47,44,60,"D5","Populus nigra","Dark",1,0.63,0.829,0.533,0.759951749095296,42,"Populus nigra_42"
"799",799,48,35,60,"D6","Vicia faba","Dark",1,0.78,0.797,0.8,0.978670012547051,43,"Vicia faba_43"
"800",800,48,30,60,"D6","Vicia faba","Dark",1,0.82,0.826,0.821,0.99273607748184,43,"Vicia faba_43"
"801",801,48,40,30,"D6","Vicia faba","Dark",1,0.768,0.794,0.683,0.967254408060453,43,"Vicia faba_43"
"802",802,48,35,30,"D6","Vicia faba","Dark",1,0.811,0.809,0.788,1,43,"Vicia faba_43"
"803",803,48,44,60,"D6","Vicia faba","Dark",1,0.297,0.795,0.17,0.373584905660377,43,"Vicia faba_43"
"804",804,48,40,120,"D6","Vicia faba","Dark",1,0.353,0.816,0.342,0.432598039215686,43,"Vicia faba_43"
"805",805,48,40,15,"D6","Vicia faba","Dark",1,0.677,0.778,0.556,0.870179948586118,43,"Vicia faba_43"
"806",806,48,44,30,"D6","Vicia faba","Dark",1,0.19,0.818,0.058,0.232273838630807,43,"Vicia faba_43"
"807",807,48,44,5,"D6","Vicia faba","Dark",1,0.63,0.794,0.61,0.793450881612091,43,"Vicia faba_43"
"808",808,48,35,120,"D6","Vicia faba","Dark",1,0.771,0.824,0.74,0.935679611650486,43,"Vicia faba_43"
"809",809,48,40,60,"D6","Vicia faba","Dark",1,0.528,0.831,0.693,0.635379061371841,43,"Vicia faba_43"
"810",810,48,44,120,"D6","Vicia faba","Dark",1,0,0.795,0,0,43,"Vicia faba_43"
"811",811,48,48,60,"D6","Vicia faba","Dark",1,0,0.791,0,0,43,"Vicia faba_43"
"812",812,48,44,15,"D6","Vicia faba","Dark",1,0.107,0.791,0.121,0.13527180783818,43,"Vicia faba_43"
"813",813,48,48,30,"D6","Vicia faba","Dark",1,0,0.816,0,0,43,"Vicia faba_43"
"814",814,48,52,30,"D6","Vicia faba","Dark",1,0,0.801,0,0,43,"Vicia faba_43"
"815",815,48,52,15,"D6","Vicia faba","Dark",1,0,0.822,0.158,0,43,"Vicia faba_43"
"816",816,48,52,5,"D6","Vicia faba","Dark",1,0,0.842,0.279,0,43,"Vicia faba_43"
"817",817,48,48,5,"D6","Vicia faba","Dark",1,0.185,0.839,NA,0.220500595947557,43,"Vicia faba_43"
"818",818,5,35,120,"A5","Populus nigra","Light",1,0.758,0.845,0.727,0.897041420118343,44,"Populus nigra_44"
"819",819,5,48,60,"A5","Populus nigra","Light",1,0.14,0.829,0.134,0.168878166465621,44,"Populus nigra_44"
"820",820,5,44,30,"A5","Populus nigra","Light",1,0.697,0.833,0.398,0.836734693877551,44,"Populus nigra_44"
"821",821,5,40,30,"A5","Populus nigra","Light",1,0.801,0.826,0.729,0.969733656174334,44,"Populus nigra_44"
"822",822,5,44,120,"A5","Populus nigra","Light",1,0.279,0.83,0,0.336144578313253,44,"Populus nigra_44"
"823",823,5,44,15,"A5","Populus nigra","Light",1,0.625,0.822,0.473,0.760340632603406,44,"Populus nigra_44"
"824",824,5,48,30,"A5","Populus nigra","Light",1,0.173,0.834,0.116,0.207434052757794,44,"Populus nigra_44"
"825",825,5,48,5,"A5","Populus nigra","Light",1,0.425,0.835,NA,0.508982035928144,44,"Populus nigra_44"
"826",826,5,52,15,"A5","Populus nigra","Light",1,0,0.817,0.096,0,44,"Populus nigra_44"
"827",827,5,40,120,"A5","Populus nigra","Light",1,0.675,0.825,0.526,0.818181818181818,44,"Populus nigra_44"
"828",828,5,40,60,"A5","Populus nigra","Light",1,0.758,0.848,0.806,0.893867924528302,44,"Populus nigra_44"
"829",829,5,30,60,"A5","Populus nigra","Light",1,0.806,0.847,0.737,0.95159386068477,44,"Populus nigra_44"
"830",830,5,44,60,"A5","Populus nigra","Light",1,0.53,0.824,0,0.643203883495146,44,"Populus nigra_44"
"831",831,5,35,60,"A5","Populus nigra","Light",1,0.73,0.816,0.738,0.894607843137255,44,"Populus nigra_44"
"832",832,5,44,5,"A5","Populus nigra","Light",1,0.722,0.814,0.529,0.886977886977887,44,"Populus nigra_44"
"833",833,5,52,5,"A5","Populus nigra","Light",1,0.094,0.855,0.111,0.109941520467836,44,"Populus nigra_44"
"834",834,5,52,30,"A5","Populus nigra","Light",1,0,0.815,0,0,44,"Populus nigra_44"
"835",835,5,35,30,"A5","Populus nigra","Light",1,0.807,0.838,0.783,0.963007159904535,44,"Populus nigra_44"
"836",836,5,40,15,"A5","Populus nigra","Light",1,0.821,0.852,0.79,0.963615023474178,44,"Populus nigra_44"
"837",837,6,44,30,"A6","Lomandra longifolia","Light",1,0.751,0.786,0.734,0.955470737913486,45,"Lomandra longifolia_45"
"838",838,6,44,60,"A6","Lomandra longifolia","Light",1,0.702,0.745,0.547,0.942281879194631,45,"Lomandra longifolia_45"
"839",839,6,30,60,"A6","Lomandra longifolia","Light",1,0.65,0.814,0.614,0.798525798525799,45,"Lomandra longifolia_45"
"840",840,6,48,30,"A6","Lomandra longifolia","Light",1,0.444,0.783,0.322,0.567049808429119,45,"Lomandra longifolia_45"
"841",841,6,40,60,"A6","Lomandra longifolia","Light",1,0.663,0.823,0.795,0.805589307411908,45,"Lomandra longifolia_45"
"842",842,6,44,120,"A6","Lomandra longifolia","Light",1,0.67,0.797,0.558,0.840652446675031,45,"Lomandra longifolia_45"
"843",843,6,35,120,"A6","Lomandra longifolia","Light",1,0.689,0.817,0.688,0.843329253365973,45,"Lomandra longifolia_45"
"844",844,6,48,5,"A6","Lomandra longifolia","Light",1,0.536,0.809,NA,0.662546353522868,45,"Lomandra longifolia_45"
"845",845,6,44,5,"A6","Lomandra longifolia","Light",1,0.702,0.789,0.659,0.889733840304182,45,"Lomandra longifolia_45"
"846",846,6,52,15,"A6","Lomandra longifolia","Light",1,0.154,0.728,0.237,0.211538461538462,45,"Lomandra longifolia_45"
"847",847,6,44,15,"A6","Lomandra longifolia","Light",1,0.749,0.766,0.678,0.977806788511749,45,"Lomandra longifolia_45"
"848",848,6,48,60,"A6","Lomandra longifolia","Light",1,0.634,0.778,0.474,0.814910025706941,45,"Lomandra longifolia_45"
"849",849,6,52,5,"A6","Lomandra longifolia","Light",1,0.513,0.827,0.451,0.620314389359129,45,"Lomandra longifolia_45"
"850",850,6,40,30,"A6","Lomandra longifolia","Light",1,0.715,0.77,0.663,0.928571428571428,45,"Lomandra longifolia_45"
"851",851,6,52,30,"A6","Lomandra longifolia","Light",1,0.122,0.783,0.103,0.15581098339719,45,"Lomandra longifolia_45"
"852",852,6,40,120,"A6","Lomandra longifolia","Light",1,0.673,0.783,0.579,0.859514687100894,45,"Lomandra longifolia_45"
"853",853,6,35,30,"A6","Lomandra longifolia","Light",1,0.766,0.812,0.737,0.943349753694581,45,"Lomandra longifolia_45"
"854",854,6,40,15,"A6","Lomandra longifolia","Light",1,0.728,0.804,0.719,0.90547263681592,45,"Lomandra longifolia_45"
